epoch,train_loss_epoch,without_wi
0,348.8598327636719,259.2043762207031
1,188.3453369140625,148.95120239257812
2,156.4486846923828,131.93296813964844
3,144.55909729003906,123.54313659667969
4,136.1122589111328,118.86962890625
5,130.67425537109375,115.7661361694336
6,126.67193603515625,111.94812774658203
7,123.48278045654297,108.86778259277344
8,120.94535064697266,107.03743743896484
9,118.59581756591797,105.66877746582031
10,116.17729949951172,104.56653594970703
11,113.97863006591797,103.47428131103516
12,112.18292999267578,102.48534393310547
13,110.8578872680664,101.56250762939453
14,109.77821350097656,100.78849792480469
15,108.91324615478516,100.14035034179688
16,107.94329071044922,99.4591064453125
17,107.20142364501953,98.94876098632812
18,106.51544952392578,99.9075698852539
19,105.8007583618164,98.32655334472656
20,105.08821868896484,97.75752258300781
21,104.44548034667969,97.38249206542969
22,103.76636505126953,97.04969024658203
23,103.1029052734375,96.67626953125
24,102.68775177001953,96.31168365478516
25,101.93006134033203,95.94499206542969
26,101.376708984375,95.71504211425781
27,100.86968994140625,95.32661437988281
28,100.46133422851562,94.97500610351562
29,100.66497039794922,94.67466735839844
30,99.90361785888672,94.34881591796875
31,99.48856353759766,94.36310577392578
32,99.11483001708984,93.81961822509766
33,98.83981323242188,93.48994445800781
34,98.71533203125,93.48230743408203
35,98.27693176269531,93.00733184814453
36,98.027099609375,92.77759552001953
37,97.84362030029297,92.72088623046875
38,97.50350952148438,92.43910217285156
39,97.26253509521484,92.18006896972656
40,97.05597686767578,91.99901580810547
41,96.86835479736328,91.78143310546875
42,96.69020080566406,91.7175064086914
43,96.3603286743164,91.53076934814453
44,96.19229125976562,91.25601959228516
45,96.0068359375,91.06971740722656
46,95.73603057861328,90.9864501953125
47,95.58979797363281,90.84805297851562
48,95.67745208740234,90.64547729492188
49,95.3121337890625,90.46186828613281
50,95.04278564453125,90.29524993896484
51,94.82772064208984,90.20213317871094
52,94.66557312011719,90.19075012207031
53,94.52081298828125,90.24649810791016
54,94.42401885986328,89.93538665771484
55,94.18412017822266,90.21443939208984
56,93.98567962646484,89.73307037353516
57,93.81861114501953,89.46511840820312
58,93.69983673095703,89.33646392822266
59,93.48580932617188,89.20774841308594
60,93.31015014648438,89.15970611572266
61,93.20978546142578,88.97877502441406
62,93.19859313964844,89.03397369384766
63,92.98505401611328,89.0037612915039
64,92.81717681884766,88.70802307128906
65,92.69999694824219,88.6250228881836
66,92.56529235839844,88.45138549804688
67,92.4312515258789,88.31971740722656
68,92.34112548828125,88.2380142211914
